20060911,0.2
20060912,0.1
20060913,-0.6
20060914,-0.1
20060915,0.2
20060918,1.2
20060919,0
20060920,0.6
20060921,-0.9
20060922,-2.2
20060925,-0.3
20060926,1.1
20060927,0
20060928,0
20060929,-0.9
20061002,4
20061003,2.8
20061004,0
20061005,0
20061006,0.7
20061009,0
20061010,1.3
20061011,0
20061012,0.2
20061013,-0.4
20061016,-0.1
20061017,-0.4
20061018,1
20061019,-1.2
20061020,0.8
20061023,1.7
20061024,0.9
20061025,0
20061026,-2.1
20061027,-2.6
20061030,-0.7
20061031,-3.6
20061101,-1.7
20061102,0
20061103,1.1
20061106,5.4
20061107,0.6
20061108,1.7
20061109,-0.5
20061110,-1.8
20061113,-2
20061114,2.9
20061115,0.1
20061116,0.2
20061117,-0.5
20061120,0
20061121,0.6
20061122,0
20061123,0
20061124,0
20061127,0
20061128,-0.2
20061129,2.2
20061130,0
20061201,-1.2
20061204,-0.1
20061205,0.4
20061206,0
20061207,0.5
20061208,-3.5
20061211,4
20061212,1
20061213,-0.4
20061214,-0.1
20061215,-1.5
20061218,-0.6
20061219,2
20061220,0.7
20061221,0.5
20061222,0.4
20061225,0
20061226,0
20061227,3
20061228,2.1
20061229,-0.1
20070101,0
20070102,0
20070103,-0.4
20070104,-2
20070105,2.8
20070108,-1.2
20070109,3
20070110,-1.7
20070111,2.1
20070112,3.8
20070115,0.4
20070116,0.7
20070117,-0.4
20070118,2.2
20070119,0.1
20070122,0
20070123,-1.1
20070124,0.6
20070125,0.7
20070126,0.4
20070129,3.3
20070130,-0.4
20070131,-1.8
20070201,1.9
20070202,0.5
20070205,-2
20070206,-0.5
20070207,0
20070208,0
20070209,3.8
20070212,0.4
20070213,0.9
20070214,0.8
20070215,-2.3
20070216,0.3
20070219,0
20070220,0
20070221,0
20070222,0.7
20070223,-0.3
20070226,-0.9
20070227,-4
20070228,-0.9
20070301,-4.3
20070302,-3.2
20070305,-2.8
20070306,1.7
20070307,0.3
20070308,0.8
20070309,-0.9
20070312,2.1
20070313,2.6
20070314,0.2
20070315,1
20070316,-0.7
20070319,2.6
20070320,0.2
20070321,0
20070322,0
20070323,-0.3
20070326,0.9
20070327,-1
20070328,-0.4
20070329,1
20070330,1.1
20070402,2.7
20070403,0.7
20070404,0.6
20070405,0.3
20070406,0
20070409,-0.5
20070410,3.2
20070411,0
20070412,0.1
20070413,2.3
20070416,2.6
20070417,0.5
20070418,-5.3
20070419,5.2
20070420,4.6
20070423,-0.7
20070424,-3.5
20070425,3.8
20070426,-0.6
20070427,0.7
20070430,-0.6
20070501,0
20070502,2
20070503,1
20070504,0.6
20070507,1.5
20070508,-0.6
20070509,0.5
20070510,-1.8
20070511,3.3
20070514,1.8
20070515,2.4
20070516,-1.2
20070517,-0.8
20070518,1.1
20070521,0.8
20070522,0
20070523,1.5
20070524,-0.9
20070525,0.9
20070528,0
20070529,0
20070530,0.4
20070531,1.6
20070601,2.2
20070604,-0.3
20070605,0.3
20070606,-0.9
20070607,1.2
20070608,0
20070611,0
20070612,-0.2
20070613,0.6
20070614,-0.1
20070615,1.7
20070618,-0.3
20070619,-1
20070620,3.3
20070621,0.3
20070622,-1.2
20070625,-3.4
20070626,0
20070627,-5.2
20070628,5.6
20070629,2.2
20070702,-3.1
20070703,1.8
20070704,0.4
20070705,1
20070706,0.6
20070709,-0.2
20070710,-0.4
20070711,0.1
20070712,-0.5
20070713,0.3
20070716,0
20070717,-1.1
20070718,0.6
20070719,-1.1
20070720,-0.9
20070723,0
20070724,-0.6
20070725,0.1
20070726,-3
20070727,-2.8
20070730,0
20070731,3.2
20070801,-4.1
20070802,0.6
20070803,1.1
20070806,1
20070807,0
20070808,1.2
20070809,0.2
20070810,0.6
20070813,0.4
20070814,-1.1
20070815,-1.7
20070816,-5.4
20070817,1.3
20070820,2
20070821,-0.3
20070822,0.5
20070823,0.6
20070824,0
20070827,0.6
20070828,0.5
20070829,0
20070830,0
20070831,-0.4
20070903,0
20070904,0
20070905,0
20070906,0.2
20070907,0.1
20070910,0
20070911,-0.2
20070912,0.3
20070913,-0.4
20070914,0
20070917,2.4
20070918,-0.6
